id,make,model,year,cylinders,engine_displacement,drive,fuel_type,fuel_cost,fuel_type1,transmission,vehicle_size_class,you_save_spend,annual_petroleum_consumption,fetch_date,fiyat
35617,Volkswagen,Jetta,2015,4,2,Front-Wheel Drive,Regular,1900,Regular Gasoline,Manual 5-spd,Compact Cars,0,10.6254,2024-11-12 23:34:21,79270.00
37313,Jaguar,F-Type Coupe,2017,6,3,Rear-Wheel Drive,Premium,2950,Premium Gasoline,Automatic (S8),Two Seaters,-5250,12.9352,2024-11-12 23:34:21,78186.00
2538,Nissan,Truck 4WD,1986,4,2.4,4-Wheel or All-Wheel Drive,Regular,3000,Regular Gasoline,Manual 5-spd,Standard Pickup Trucks,-5500,16.5283,2024-11-12 23:34:21,50910.00
46548,BMW,X6 xDrive40i,2024,6,3,All-Wheel Drive,Premium,2800,Premium Gasoline,Automatic (S8),Standard Sport Utility Vehicle 4WD,-4500,12.3962,2024-11-12 23:34:21,36924.00
46708,Cadillac,XT5 AWD,2024,6,3.6,All-Wheel Drive,Regular,2550,Regular Gasoline,Automatic (S9),Small Sport Utility Vehicle 4WD,-3250,14.1671,2024-11-12 23:34:21,80349.00
46826,Chevrolet,Silverado Mud Terrain Tires 4WD,2024,8,6.2,4-Wheel Drive,Premium,4500,Premium Gasoline,Automatic 10-spd,Standard Pickup Trucks 4WD,-13000,19.834,2024-11-12 23:34:21,85768.00
47177,Audi,Q7 quattro,2024,4,2,All-Wheel Drive,Premium,3200,Premium Gasoline,Automatic (S8),Standard Sport Utility Vehicle 4WD,-6500,14.1671,2024-11-12 23:34:21,36421.00
5273,Maserati,Spyder,1989,6,2.8,Rear-Wheel Drive,Premium,4500,Premium Gasoline,Automatic 4-spd,Two Seaters,-13000,19.834,2024-11-12 23:34:21,78318.00
5634,Toyota,Camry,1989,4,2,Front-Wheel Drive,Regular,2150,Regular Gasoline,Automatic 4-spd,Compact Cars,-1250,11.9004,2024-11-12 23:34:21,81744.00
5703,Dodge,Dynasty,1989,4,2.5,Front-Wheel Drive,Regular,2450,Regular Gasoline,Automatic 3-spd,Midsize Cars,-2750,13.5232,2024-11-12 23:34:21,65037.00
7635,Isuzu,Impulse,1991,4,1.6,Front-Wheel Drive,Regular,2250,Regular Gasoline,Automatic 4-spd,Subcompact Cars,-1750,12.3962,2024-11-12 23:34:21,87982.00
8409,Ford,E150 Club Wagon,1991,8,5.8,Rear-Wheel Drive,Regular,4900,Regular Gasoline,Automatic 4-spd,Vans,-15000,27.0464,2024-11-12 23:34:21,86004.00
8681,Dodge,Stealth,1992,6,3,Front-Wheel Drive,Regular,3000,Regular Gasoline,Manual 5-spd,Subcompact Cars,-5500,16.5283,2024-11-12 23:34:21,43122.00
37420,Infiniti,Q50 AWD,2016,6,3,All-Wheel Drive,Premium,3050,Premium Gasoline,Automatic (S7),Midsize Cars,-5750,13.5232,2024-11-12 23:34:21,78518.00
37676,Cadillac,Escalade 2WD,2017,8,6.2,Rear-Wheel Drive,Regular,3150,Regular Gasoline,Automatic 8-spd,Standard Sport Utility Vehicle 2WD,-6250,17.5006,2024-11-12 23:34:21,86053.00
39065,Kia,Forte 5,2018,4,1.6,Front-Wheel Drive,Regular,2150,Regular Gasoline,Manual 6-spd,Large Cars,-1250,11.9004,2024-11-12 23:34:21,79480.00
39942,Buick,Envision FWD,2019,4,2.5,Front-Wheel Drive,Regular,2150,Regular Gasoline,Automatic 6-spd,Small Sport Utility Vehicle 2WD,-1250,11.9004,2024-11-12 23:34:21,40968.00
40691,Chevrolet,Sonic,2019,4,1.4,Front-Wheel Drive,Regular,1850,Regular Gasoline,Automatic (S6),Compact Cars,250,10.259,2024-11-12 23:34:21,76070.00
